name,monthly_temperature,pig_vaccinated,area,state_total_population,monthly_case_to_pop_ratio,high_risk_state,pop_density
Delhi,22.6,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,29.21,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,32.98,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,33.28,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,30.84,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,29.74,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,28.86,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,25.64,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,19.96,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,14.83,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,13.24,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,17.03,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,22.6,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,29.21,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,32.98,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,33.28,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,30.84,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,29.74,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,28.86,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,25.64,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,19.96,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,14.83,,1483,1469537.3260000001,4.3694719215674753e-05,0,990.922
Delhi,13.24,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,17.03,,1483,1487912.2892,4.045707330018584e-05,1,1003.3124
Delhi,22.6,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,29.21,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,32.98,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,33.28,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,30.84,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,29.74,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,28.86,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,25.64,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,19.96,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,14.83,,1483,1487912.2892,4.3694719215674753e-05,0,1003.3124
Delhi,13.24,,1483,1506287.2524,3.996354377460156e-05,1,1015.7028
Delhi,17.03,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,22.6,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,29.21,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,32.98,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,33.28,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,30.84,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,29.74,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,28.86,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,25.64,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,19.96,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,14.83,,1483,1506287.2524,4.3694719215674753e-05,0,1015.7028
Delhi,13.24,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
Delhi,17.03,,1483,1524662.2156,4.369471921567476e-05,0,1028.0932
